row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
250.0,Melanoma of the skin,2016,Males,Northern Territory,54,42.5,6,4.9,Male,128021
251.0,Melanoma of the skin,2016,Males,,8491,70.7,858,7.1,Male,12098143
252.0,Melanoma of the skin,2016,Females,New South Wales,1927,49.4,131,3.4,Female,3930264
253.0,Melanoma of the skin,2016,Females,Victoria,1251,40.1,85,2.7,Female,3153402
254.0,Melanoma of the skin,2016,Females,Queensland,1633,66.9,88,3.6,Female,2461724
255.0,Melanoma of the skin,2016,Females,Western Australia,624,49.0,36,2.8,Female,1281303
256.0,Melanoma of the skin,2016,Females,South Australia,341,39.4,39,4.5,Female,869666
257.0,Melanoma of the skin,2016,Females,Tasmania,148,56.6,7,2.7,Female,263525
258.0,Melanoma of the skin,2016,Females,Australian Capital Territory,75,38.2,7,3.4,Female,206376
259.0,Melanoma of the skin,2016,Females,Northern Territory,28,24.6,2,n.p.,Female,118539
260.0,Melanoma of the skin,2016,Females,,6034,49.5,396,3.2,Female,12286921
261.0,Melanoma of the skin,2016,Persons,New South Wales,4785,61.9,419,5.4,Person,7795625
262.0,Melanoma of the skin,2016,Persons,Victoria,2820,45.7,263,4.3,Person,6235781
263.0,Melanoma of the skin,2016,Persons,Queensland,3964,81.8,301,6.2,Person,4882939
264.0,Melanoma of the skin,2016,Persons,Western Australia,1536,60.1,127,5.0,Person,2569606
265.0,Melanoma of the skin,2016,Persons,South Australia,804,46.9,95,5.5,Person,1719580
266.0,Melanoma of the skin,2016,Persons,Tasmania,333,64.3,30,5.8,Person,521981
267.0,Melanoma of the skin,2016,Persons,Australian Capital Territory,167,42.8,18,4.6,Person,408878
268.0,Melanoma of the skin,2016,Persons,Northern Territory,82,33.9,8,3.3,Person,246443
269.0,Melanoma of the skin,2016,Persons,,14525,60.0,1254,5.2,Person,24385064
270.0,Melanoma of the skin,2017,Males,New South Wales,2975,76.3,319,8.2,Male,3921301
271.0,Melanoma of the skin,2017,Males,Victoria,1673,53.7,162,5.2,Male,3144429
272.0,Melanoma of the skin,2017,Males,Queensland,2477,101.4,241,9.9,Male,2458389
273.0,Melanoma of the skin,2017,Males,Western Australia,867,66.9,89,6.9,Male,1302076
274.0,Melanoma of the skin,2017,Males,South Australia,467,54.7,59,6.9,Male,857807
275.0,Melanoma of the skin,2017,Males,Tasmania,181,69.4,23,8.8,Male,263305
276.0,Melanoma of the skin,2017,Males,Australian Capital Territory,107,54.4,10,5.2,Male,207866
277.0,Melanoma of the skin,2017,Males,Northern Territory,52,40.9,5,3.9,Male,128104
278.0,Melanoma of the skin,2017,Males,,8833,72.4,908,7.4,Male,12284961
279.0,Melanoma of the skin,2017,Females,New South Wales,1957,49.4,186,4.7,Female,3979645
280.0,Melanoma of the skin,2017,Females,Victoria,1310,41.1,111,3.5,Female,3213781
281.0,Melanoma of the skin,2017,Females,Queensland,1671,67.3,106,4.3,Female,2502576
282.0,Melanoma of the skin,2017,Females,Western Australia,586,45.4,46,3.6,Female,1297852
283.0,Melanoma of the skin,2017,Females,South Australia,332,38.0,25,2.9,Female,877847
284.0,Melanoma of the skin,2017,Females,Tasmania,158,59.4,7,2.6,Female,268256
285.0,Melanoma of the skin,2017,Females,Australian Capital Territory,77,38.5,8,3.9,Female,212360
286.0,Melanoma of the skin,2017,Females,Northern Territory,29,24.6,2,n.p.,Female,119647
287.0,Melanoma of the skin,2017,Females,,6129,49.5,495,4.0,Female,12474057
288.0,Melanoma of the skin,2017,Persons,New South Wales,4932,62.8,505,6.4,Person,7900946
289.0,Melanoma of the skin,2017,Persons,Victoria,2983,47.3,273,4.3,Person,6358210
290.0,Melanoma of the skin,2017,Persons,Queensland,4148,84.2,347,7.0,Person,4960965
291.0,Melanoma of the skin,2017,Persons,Western Australia,1453,56.2,135,5.2,Person,2599928
292.0,Melanoma of the skin,2017,Persons,South Australia,799,46.2,84,4.9,Person,1735654
293.0,Melanoma of the skin,2017,Persons,Tasmania,339,64.4,30,5.7,Person,531561
294.0,Melanoma of the skin,2017,Persons,Australian Capital Territory,184,46.4,18,4.5,Person,420226
295.0,Melanoma of the skin,2017,Persons,Northern Territory,81,33.1,7,2.9,Person,247514
296.0,Melanoma of the skin,2017,Persons,,14962,60.8,1403,5.7,Person,24759018
297.0,Melanoma of the skin,2018,Males,New South Wales,2984,75.5,333,8.4,Male,3976266
298.0,Melanoma of the skin,2018,Males,Victoria,1766,55.6,195,6.1,Male,3207192
299.0,Melanoma of the skin,2018,Males,Queensland,2341,94.4,235,9.5,Male,2499842
300.0,Melanoma of the skin,2018,Males,Western Australia,857,65.4,80,6.1,Male,1319834
