Year,Sex,Incident,Mortality,Population,State
2013,Males,575,121,11582448,
2013,Females,116,25,3756718,New South Wales
2013,Females,29,6,2948198,Victoria
2013,Females,72,20,2351677,Queensland
2013,Females,44,10,1242247,Western Australia
2013,Females,9,3,847152,South Australia
2013,Females,5,3,258137,Tasmania
2013,Females,2,1,194627,Australian Capital Territory
2013,Females,0,0,115450,Northern Territory
2013,Females,275,69,11715329,
2013,Persons,356,69,7454938,New South Wales
2013,Persons,86,25,5832585,Victoria
2013,Persons,220,58,4685439,Queensland
2013,Persons,131,21,2502188,Western Australia
2013,Persons,32,9,1678052,South Australia
2013,Persons,17,4,513015,Tasmania
2013,Persons,7,2,386318,Australian Capital Territory
2013,Persons,2,1,242304,Northern Territory
2013,Persons,850,190,23297777,
2014,Males,224,42,3750061,New South Wales
2014,Males,83,22,2945763,Victoria
2014,Males,131,40,2361282,Queensland
2014,Males,77,14,1271552,Western Australia
2014,Males,27,7,838094,South Australia
2014,Males,11,2,255134,Tasmania
2014,Males,5,1,194291,Australian Capital Territory
2014,Males,2,1,127079,Northern Territory
2014,Males,561,129,11744498,
2014,Females,118,26,3812110,New South Wales
2014,Females,38,5,3011749,Victoria
2014,Females,74,13,2385981,Queensland
2014,Females,43,6,1257067,Western Australia
2014,Females,16,1,855013,South Australia
2014,Females,5,1,259067,Tasmania
2014,Females,1,1,197690,Australian Capital Territory
2014,Females,0,0,116165,Northern Territory
2014,Females,295,53,11895833,
2014,Persons,342,68,7562171,New South Wales
2014,Persons,121,27,5957512,Victoria
2014,Persons,205,53,4747263,Queensland
2014,Persons,120,20,2528619,Western Australia
2014,Persons,43,8,1693107,South Australia
2014,Persons,16,3,514040,Tasmania
2014,Persons,7,2,391981,Australian Capital Territory
2014,Persons,2,1,243201,Northern Territory
2014,Persons,856,182,23640331,
2015,Males,251,38,3803289,New South Wales
2015,Males,79,26,3011376,Victoria
2015,Males,138,25,2385347,Queensland
2015,Males,81,10,1278792,Western Australia
2015,Males,30,6,843702,South Australia
2015,Males,10,3,255551,Tasmania
2015,Males,5,1,197696,Australian Capital Territory
2015,Males,2,1,127914,Northern Territory
2015,Males,598,109,11904308,
2015,Females,136,22,3868112,New South Wales
2015,Females,39,14,3081673,Victoria
2015,Females,82,6,2419586,Queensland
2015,Females,44,6,1268953,Western Australia
2015,Females,15,2,862235,South Australia
2015,Females,14,1,260242,Tasmania
2015,Females,1,0,201178,Australian Capital Territory
2015,Females,0,0,117123,Northern Territory
2015,Females,332,52,12080273,
2015,Persons,387,60,7671401,New South Wales
2015,Persons,118,40,6093049,Victoria
2015,Persons,220,31,4804933,Queensland
2015,Persons,125,16,2547745,Western Australia
2015,Persons,45,8,1705937,South Australia
2015,Persons,24,4,515697,Tasmania
2015,Persons,7,1,398874,Australian Capital Territory
2015,Persons,2,1,244692,Northern Territory
2015,Persons,930,161,23984581,
2016,Males,260,42,3865361,New South Wales
2016,Males,92,15,3082379,Victoria
2016,Males,157,28,2421215,Queensland
2016,Males,71,13,1288303,Western Australia
2016,Males,38,8,849914,South Australia
2016,Males,11,0,258456,Tasmania
2016,Males,6,1,202502,Australian Capital Territory
2016,Males,2,0,128021,Northern Territory
2016,Males,638,107,12098143,
2016,Females,144,22,3930264,New South Wales
2016,Females,49,15,3153402,Victoria
2016,Females,76,15,2461724,Queensland
2016,Females,55,6,1281303,Western Australia
2016,Females,13,2,869666,South Australia
2016,Females,3,1,263525,Tasmania
2016,Females,2,1,206376,Australian Capital Territory
2016,Females,0,0,118539,Northern Territory
2016,Females,344,62,12286921,
2016,Persons,404,64,7795625,New South Wales
2016,Persons,141,30,6235781,Victoria
2016,Persons,233,43,4882939,Queensland
2016,Persons,126,19,2569606,Western Australia
2016,Persons,51,10,1719580,South Australia
2016,Persons,14,1,521981,Tasmania
2016,Persons,7,2,408878,Australian Capital Territory
2016,Persons,3,1,246443,Northern Territory
2016,Persons,982,169,24385064,
2017,Males,300,46,3921301,New South Wales
2017,Males,151,19,3144429,Victoria
2017,Males,171,26,2458389,Queensland
2017,Males,73,6,1302076,Western Australia
2017,Males,29,7,857807,South Australia
2017,Males,12,3,263305,Tasmania
2017,Males,6,1,207866,Australian Capital Territory
2017,Males,3,0,128104,Northern Territory
2017,Males,744,109,12284961,
2017,Females,133,27,3979645,New South Wales
2017,Females,76,11,3213781,Victoria
2017,Females,98,18,2502576,Queensland
2017,Females,49,5,1297852,Western Australia
2017,Females,20,5,877847,South Australia
2017,Females,9,1,268256,Tasmania
2017,Females,1,1,212360,Australian Capital Territory
2017,Females,0,0,119647,Northern Territory
2017,Females,387,68,12474057,
2017,Persons,433,73,7900946,New South Wales
2017,Persons,227,30,6358210,Victoria
2017,Persons,269,44,4960965,Queensland
2017,Persons,122,11,2599928,Western Australia
2017,Persons,49,12,1735654,South Australia
2017,Persons,21,4,531561,Tasmania
2017,Persons,7,2,420226,Australian Capital Territory
2017,Persons,3,1,247514,Northern Territory
2017,Persons,1131,177,24759018,
2018,Males,272,43,3976266,New South Wales
2018,Males,95,25,3207192,Victoria
2018,Males,148,24,2499842,Queensland
2018,Males,63,10,1319834,Western Australia
2018,Males,31,5,867603,South Australia
2018,Males,17,2,268840,Tasmania
2018,Males,5,1,212822,Australian Capital Territory
2018,Males,3,0,127221,Northern Territory
2018,Males,630,112,12481024,
2018,Females,175,22,4027298,New South Wales
2018,Females,50,15,3272503,Victoria
2018,Females,74,13,2546592,Queensland
2018,Females,40,4,1316570,Western Australia
2018,Females,16,5,888112,South Australia
2018,Females,7,1,274087,Tasmania
2018,Females,2,0,217936,Australian Capital Territory
2018,Females,1,0,119997,Northern Territory
2018,Females,367,60,12665116,
2018,Persons,447,65,8003564,New South Wales
2018,Persons,145,40,6479695,Victoria
2018,Persons,222,37,5046434,Queensland
2018,Persons,103,14,2636404,Western Australia
2018,Persons,47,10,1755715,South Australia
